Delta_Power,Theta_Power,Alpha_Power,Beta_Power,Gamma_Power
0.7209020344551428,0.025284405099523205,0.02381129283201744,0.06804686086336124,0.1619554067499555
0.8868454662870737,0.021327535428961982,0.013244571484277367,0.0263740954579825,0.05220833134170438
0.911680505330749,0.034502937260005785,0.022742772187487072,0.016825492866203356,0.01424829235555484
0.7727068968162034,0.1063698076804234,0.051090414043675085,0.03849128213682458,0.03134159932287342
0.9125648516946328,0.037744177890424224,0.01984019708427775,0.015503849327870878,0.014346924002794395
0.92388060345673,0.035583430340574505,0.018366033066207543,0.01175230268218429,0.010417630454303602
0.8099493832244731,0.02814113830561987,0.020715353955604504,0.07810452839211343,0.06308959612218935
0.9484875729292751,0.020028955130761618,0.010085182703343033,0.007073307761793671,0.014324981474826415
0.9560421652928428,0.013144577002703888,0.008500237252554011,0.010397397032152691,0.011915623419746491
0.5045189836772583,0.033839013228931986,0.019226388818348556,0.1598642327600714,0.2825513815153898
0.868831681192122,0.02344982903117347,0.01001736639495198,0.025910216639274338,0.07179090674247826
0.9189123966381237,0.03128376609908883,0.014842103087272334,0.015624820900579123,0.0193369132749359
0.9553707409031774,0.018058093630153874,0.011035568385676526,0.007664419438856943,0.007871177642135435
0.9003893986361655,0.03923222943893009,0.015345721159203714,0.01660698663707036,0.028425664128630568
0.8443618292740993,0.07398662351310792,0.01779777478481402,0.028054062413110575,0.03579971001486823
0.9389146134803572,0.02973444059711309,0.007807170391783302,0.009635984022402712,0.013907791508343682
0.7573876882964788,0.04107550666938023,0.024307382793124076,0.061539835371194104,0.11568958686982274
0.7417470953399814,0.03580417132124375,0.029759111246422044,0.07769314056876844,0.1149964815235841
0.5596201901283062,0.06397978875579943,0.05590776885127984,0.11391338194997333,0.2065788703146411
0.6450141052209655,0.02794920002331361,0.04521485575334336,0.07483371775189125,0.20698812125048655
0.7738102035417889,0.04540537499687208,0.05689445505612254,0.04608047441570902,0.07780949198950744
