Delta_Power,Theta_Power,Alpha_Power,Beta_Power,Gamma_Power
0.9071495184689427,0.06855510028216776,0.01577255868753352,0.014206996410962134,0.005039820488703974
0.9192315287764575,0.04148579340649837,0.018698936934871544,0.012935179740827857,0.009736385654554987
0.8079257813165696,0.0945093428909746,0.03326825046689809,0.041093433920449424,0.035119037846806436
0.8432368220373907,0.07834346444597216,0.015661111962423254,0.03103933580852519,0.04166083953067023
0.7182820307421879,0.09956011631922361,0.02521206849162817,0.07237689028783384,0.11165971339932361
0.8060219738137384,0.04985887991624086,0.024993190422139624,0.05940284179396793,0.07276138679085736
0.6292428514578027,0.1099620541790364,0.040370485875462096,0.11252855871385345,0.12705251780032678
0.8659817610830232,0.08082064305320844,0.026132357483698455,0.021937464820068128,0.01552388980513176
0.7886127104230696,0.16278025013869302,0.03160449200031925,0.025717863280030537,0.008509122392069865
0.9537510344711956,0.03581510217729876,0.008794541877408876,0.006971666268966221,0.001770805662546366
0.8888989009989714,0.08980978964335286,0.014695957410377568,0.01188266304655614,0.0042902550804009764
0.9489677281579564,0.021945654393308846,0.013346944232419737,0.010759024533375402,0.006376447354977482
0.9063570000986892,0.055810987352658575,0.014407559761852316,0.017268974278193825,0.012429777632089127
0.9517228007622234,0.024599124040237893,0.010852846329807327,0.008940868360922675,0.006253797668004789
0.9483849426465711,0.03202272077738423,0.01379113457295765,0.00881917929972115,0.003113455595925153
0.9104826570231623,0.06380158689540674,0.015767413696307516,0.015737737165601146,0.0044932162595891405
0.9239514841457768,0.038391772694969684,0.01932502616820233,0.015611779504273376,0.005371150654282583
0.9347877653013926,0.04983342723929752,0.011005647006754523,0.009310253593161294,0.003005463540937608
0.8685919731489044,0.09041945851784271,0.031045820520640782,0.019612249715578123,0.007095476021227719
0.9298372660232536,0.031260790632864646,0.010715756796983235,0.014654971461347203,0.016845771744690242
0.8424570659151188,0.07330586512847856,0.03284664722302989,0.03313498894711663,0.025370298470969086
0.7600935028086013,0.1155280906093375,0.06958873407309929,0.03767737569948258,0.022718488354468585
0.8662020587552105,0.06984549567081566,0.02361329909559703,0.030409333731151907,0.027057924847219268
0.8016350621484106,0.02874437940551582,0.014673365975798549,0.05945756542515713,0.10056550429243873
0.48089019443299424,0.04848014454545806,0.017766221088253303,0.18268606268794466,0.2840799917013708
0.7187010326852786,0.07376310083045974,0.013976818614026441,0.10150048302109402,0.12052093071990899
0.7878236671501255,0.0619068659407624,0.022692886413425328,0.054135690872261964,0.07933196229550775
0.8602639845447994,0.03896364766251926,0.019734486142734507,0.03907203841487418,0.05547136159631781
0.7014324334074232,0.11808009605201095,0.024259635097791544,0.08783359232710025,0.08597126293998036
0.8049498782827331,0.043178095005288526,0.016027379232649578,0.06244232735935776,0.07856211298195322
0.6838881559307413,0.08076566579751834,0.03142671381705194,0.08524159808672345,0.13525769139603477
0.7164572939989509,0.09325306623922022,0.03297429770467688,0.06428908456826349,0.12020764450957099
0.8819344789426311,0.03261933016503389,0.026962371486267088,0.03344280928346411,0.03621937414507898
0.7659373367548699,0.07970522879408692,0.048154695078776705,0.05296132142350473,0.06528643811222294
0.9297008052033598,0.053112515880725124,0.011501953244528589,0.008246061624299238,0.0038474396082924353
0.8745140178799917,0.094851870831001,0.017843632619464634,0.01262793146301767,0.006800362540761257
0.7932593103669471,0.15781956460892277,0.0404963901262985,0.03823504187135546,0.012876262089596883
0.9230608064009165,0.04621364262439261,0.01048826257852185,0.017147904804803583,0.00996383787465421
0.8679343827379986,0.0543580737897197,0.0170164575791962,0.03736928716671853,0.04298141582102294
0.8909061553328764,0.08318928174017527,0.017450965480785143,0.018870196957224434,0.008619301542069897
0.8142594728214785,0.08656445006674554,0.030942102885974456,0.04409067999063841,0.031504417271613135
0.7106380602584335,0.07693032468404103,0.017476007633648535,0.08979064215825447,0.1254782620840268
0.8958800086020264,0.04352718411239655,0.011285291256309102,0.028412873669008472,0.030124394788256254
0.7330447907176733,0.07322244222089594,0.037450801650996644,0.07604408098623724,0.08788222310055584
0.7929486761330965,0.09121990601963217,0.023814989878229713,0.06301820099527093,0.058510728325823574
0.8306999231566558,0.08005457196375539,0.012381099826278177,0.04381059680496692,0.04056553694737794
0.8763109036233193,0.05756565888569685,0.019636061178867032,0.02807743968748993,0.03535757679504013
0.950357436331746,0.027665228485575077,0.012593446772321853,0.008416803445191454,0.00324567987056865
0.8754090711205913,0.07526511524659998,0.029218054410677888,0.021401795802321506,0.004896864726364024
0.9066888691854301,0.07565226706053156,0.014528197855507114,0.011360633922552626,0.00341344549562681
0.8353000564441079,0.08701048943233056,0.02059481310377949,0.03264508469651167,0.03608316080729956
0.8108965882786775,0.06704215629467779,0.024203487591456112,0.04233782490857051,0.05976358703505758
0.9404704760342933,0.03904066376864244,0.011328678537105225,0.008055518432692288,0.003840723182065991
0.8381453972334246,0.12066410498855383,0.024198949512796067,0.03147269834795943,0.014609231483710291
0.8815985104871953,0.0504546941501246,0.020410086109279506,0.0291334351946288,0.02573543744007691
0.8895680537028594,0.04989571646630422,0.014054200071314811,0.024591763780582674,0.02496424785052975
0.8259749615757934,0.10836145996350978,0.01393585916811515,0.04383654339960927,0.03642065167760341
0.7311229559786282,0.05114842869985667,0.03751376449343885,0.0913675113582386,0.09819007309743408
0.9012565782400924,0.042358508540101,0.012940614793848301,0.02519200791385239,0.028038666969726622
0.8540689394229433,0.05766660128844851,0.013112219208125326,0.03418238360740609,0.04366512720220061
0.8834716038546246,0.04226727633872727,0.010906606604351853,0.030817970449129695,0.04513858270548302
0.7311020092665648,0.08936353214942469,0.03934181960858453,0.07442842215770847,0.09306447714292986
0.8494889339989633,0.07791666305525731,0.016564331460678296,0.0342391524394673,0.026794284335207724
0.7993180371547673,0.1368993158826905,0.0291441749435886,0.02979077842094185,0.01247209746170003
0.8807104346728195,0.07126636763280245,0.02652757988874605,0.023039129562856437,0.0045724076050183944
0.9056430740576716,0.06489126799859986,0.017230485288593337,0.01679282664354517,0.004875119647925448
0.9244393807518236,0.05943592447328083,0.008872790338654145,0.010617301090822404,0.003667430843513292
0.9175611322530608,0.0526463462688115,0.010700231708247094,0.017398061431939213,0.014338227594788405
0.8875255508823746,0.04733893038367589,0.010952453468312697,0.03126217060143096,0.026563488269275282
0.9473751327719324,0.03376121826250298,0.010391378977908282,0.00901341422042652,0.003329170337019368
0.8528076976257504,0.10750592794555018,0.02876233442788206,0.024061533009686574,0.00957426712775347
0.9380302298602079,0.03388137316259778,0.014955459304222617,0.01235310688184282,0.00473393952656876
0.8782760485754285,0.07510541188708135,0.023570256021584416,0.018792004890625755,0.009598101772822542
0.9315664194754069,0.04746141986643375,0.016266911377700248,0.00979346620199472,0.0022862991053762063
0.9185993071545868,0.055147219937621395,0.012786413351040115,0.012202817700464596,0.0041928706540933156
0.6916794469873059,0.08209497079761911,0.025935011082081762,0.10295780739907924,0.1163904407114083
0.5687527833371889,0.09774660163333827,0.026050361631805737,0.17351057913026255,0.1672004414456093
0.7975192556271071,0.06031009591355636,0.02137328410403095,0.07593801599982333,0.06785522595262414
0.7944157541462815,0.11215992681244308,0.03855959143326932,0.04797379310423785,0.014483080695429673
0.65212942819621,0.12155960976952615,0.040133316695534244,0.10553475379531987,0.10837541972502795
